device,model,Hidden Layer Size,Number of Layers,Weight Compression,batch size,Estimated Memory Usage Per GPU Memory Usage (GB),Estimated Total Memory Usage(GB),tokens_per_second,run_time_seconds,time_to_first_token
"Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB",100B MatMulFreeLM,10080.0,80.0,False,16,25.33039617538452,202.64316940307617,227.629847054105,14.058700919151306,1.5804133892059327
"Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB",100B MatMulFreeLM,10080.0,80.0,False,8,25.33039617538452,202.64316940307617,115.6647367786826,13.845068979263306,1.2897960424423218
"Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB",100B MatMulFreeLM,10080.0,80.0,False,4,25.33039617538452,202.64316940307617,59.20657550009704,13.515447402000428,0.9484300136566162
"Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB",100B MatMulFreeLM,10080.0,80.0,False,2,25.33039617538452,202.64316940307617,29.881929515784616,13.386921739578247,0.9548464298248291
"Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB,Tesla V100-SXM2-32GB",100B MatMulFreeLM,10080.0,80.0,False,1,25.33039617538452,202.64316940307617,15.02999722642686,13.307236862182616,0.9368026494979859
"Tesla V100-SXM2-32GB",100B MatMulFreeLM,10080.0,80.0,True,16,25.690757274627686,25.690757274627686,15.271262121737424,209.543914103508,1.4277232885360718
"Tesla V100-SXM2-32GB",100B MatMulFreeLM,10080.0,80.0,True,8,25.690757274627686,25.690757274627686,7.757807370080172,206.24384281635284,1.262825107574463
"Tesla V100-SXM2-32GB",100B MatMulFreeLM,10080.0,80.0,True,4,25.690757274627686,25.690757274627686,3.938218246529402,203.13754909038545,1.027846097946167
"Tesla V100-SXM2-32GB",100B MatMulFreeLM,10080.0,80.0,True,2,25.690757274627686,25.690757274627686,1.970525025075316,202.9915871143341,1.0352590799331665
"Tesla V100-SXM2-32GB",100B MatMulFreeLM,10080.0,80.0,True,1,25.690757274627686,25.690757274627686,0.9891498383925054,202.1938366174698,1.0166985988616943
,